ground_truth_x,ground_truth_y,predicted_x,predicted_y
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
88.0,90.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
52.0,56.0,93.0,93.0
78.0,80.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
87.0,88.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
50.0,54.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
14.0,17.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
35.0,37.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
37.0,40.0,93.0,93.0
39.0,42.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
32.0,35.0,93.0,93.0
93.0,93.0,93.0,93.0
93.0,93.0,93.0,93.0
