frame,x,y
0000,10,10
0001,10,11
0002,12,12
0003,12,13
0004,13,14
0005,14,15
0006,14,17
0007,16,17
0008,16,18
0009,17,19
0010,18,20
0011,19,21
0012,20,21
0013,21,23
0014,22,24
0015,23,24
0016,24,25
0017,25,26
0018,26,28
0019,27,28
0020,28,29
0021,29,30
0022,29,32
0023,30,33
0024,31,34
0025,32,35
0026,33,36
0027,35,37
0028,36,39
0029,36,39
0030,37,40
0031,38,41
0032,39,42
0033,40,43
0034,41,44
0035,41,46
0036,42,46
0037,43,48
0038,44,49
0039,45,49
0040,46,50
0041,48,51
0042,48,52
0043,49,53
0044,50,54
0045,52,55
0046,52,56
0047,54,57
0048,55,58
0049,56,59
0050,57,59
0051,57,61
0052,58,62
0053,59,62
0054,60,62
0055,61,62
0056,62,62
0057,62,62
0058,62,62
0059,62,62
0060,62,62
0061,62,62
0062,62,62
0063,62,62
0064,62,62
0065,62,62
0066,62,62
0067,62,62
0068,62,62
0069,62,62
0070,62,62
0071,62,62
0072,62,62
0073,62,62
0074,62,62
0075,62,62
0076,62,62
0077,62,62
0078,62,62
0079,62,62
0080,62,62
0081,62,62
0082,62,62
0083,62,62
0084,62,62
0085,62,62
0086,62,62
0087,62,62
0088,62,62
0089,62,62
0090,62,62
0091,62,62
0092,62,62
0093,62,62
0094,62,62
0095,62,62
0096,62,62
0097,62,62
0098,62,62
0099,62,62
0100,62,62
0101,62,62
0102,62,62
0103,62,62
0104,62,62
0105,62,62
0106,62,62
0107,62,62
0108,62,62
0109,62,62
0110,62,62
0111,62,62
0112,62,62
0113,62,62
0114,62,62
0115,62,62
0116,62,62
0117,62,62
0118,62,62
0119,62,62
0120,62,62
0121,62,62
0122,62,62
0123,62,62
0124,62,62
0125,62,62
0126,62,62
0127,62,62
0128,62,62
0129,62,62
0130,62,62
0131,62,62
0132,62,62
0133,62,62
0134,62,62
0135,62,62
0136,62,62
0137,62,62
0138,62,62
0139,62,62
0140,62,62
0141,62,62
0142,62,62
0143,62,62
0144,62,62
0145,62,62
0146,62,62
0147,62,62
0148,62,62
0149,62,62
0150,62,62
0151,62,62
0152,62,62
0153,62,62
0154,62,62
0155,62,62
0156,62,62
0157,62,62
0158,62,62
0159,62,62
0160,62,62
0161,62,62
0162,62,62
0163,62,62
0164,62,62
0165,62,62
0166,62,62
0167,62,62
0168,62,62
0169,62,62
0170,62,62
0171,62,62
0172,62,62
0173,62,62
0174,62,62
0175,62,62
0176,62,62
0177,62,62
0178,62,62
0179,62,62
0180,62,62
0181,62,62
0182,62,62
0183,62,62
0184,62,62
0185,62,62
0186,62,62
0187,62,62
0188,62,62
0189,62,62
0190,62,62
0191,62,62
0192,62,62
0193,62,62
0194,62,62
0195,62,62
0196,62,62
0197,62,62
0198,62,62
0199,62,62
0200,62,62
0201,62,62
0202,62,62
0203,62,62
0204,62,62
0205,62,62
0206,62,62
0207,62,62
0208,62,62
0209,62,62
0210,62,62
0211,62,62
0212,62,62
0213,62,62
0214,62,62
0215,62,62
0216,62,62
0217,62,62
0218,62,62
0219,62,62
0220,62,62
0221,62,62
