frame,x,y
0776,93,93
0507,93,93
0895,93,93
0922,93,93
0033,40,43
0483,93,93
0085,91,93
0750,93,93
0354,93,93
0523,93,93
0184,93,93
0809,93,93
0418,93,93
0615,93,93
0682,93,93
0501,93,93
0760,93,93
0049,56,59
0732,93,93
0336,93,93
0450,93,93
0790,93,93
0350,93,93
0467,93,93
0622,93,93
0476,93,93
0614,93,93
0554,93,93
0365,93,93
0770,93,93
0630,93,93
0940,93,93
0797,93,93
0496,93,93
0924,93,93
0369,93,93
0596,93,93
0720,93,93
0053,59,62
0426,93,93
0056,62,65
0264,93,93
0772,93,93
0185,93,93
0466,93,93
0789,93,93
0174,93,93
0150,93,93
0741,93,93
0113,93,93
0428,93,93
0965,93,93
0018,26,28
0189,93,93
0414,93,93
0589,93,93
0666,93,93
0763,93,93
0221,93,93
0586,93,93
0581,93,93
0299,93,93
0638,93,93
0386,93,93
0364,93,93
0879,93,93
0334,93,93
0016,24,25
0202,93,93
0001,10,11
0038,44,49
0290,93,93
0493,93,93
0247,93,93
0506,93,93
0896,93,93
0713,93,93
0891,93,93
0076,83,84
0911,93,93
0792,93,93
0508,93,93
0177,93,93
0842,93,93
0200,93,93
0765,93,93
0909,93,93
0293,93,93
0538,93,93
0024,31,34
0694,93,93
0210,93,93
0424,93,93
0528,93,93
0034,41,44
0928,93,93
0398,93,93
0607,93,93
0298,93,93
0848,93,93
0668,93,93
0282,93,93
0939,93,93
0944,93,93
0606,93,93
0959,93,93
0934,93,93
0731,93,93
0287,93,93
0527,93,93
0807,93,93
0229,93,93
0436,93,93
0028,36,39
0374,93,93
0819,93,93
0316,93,93
0560,93,93
0241,93,93
0149,93,93
0516,93,93
0417,93,93
0660,93,93
0198,93,93
0585,93,93
0325,93,93
0823,93,93
0702,93,93
0949,93,93
0515,93,93
0864,93,93
0836,93,93
0877,93,93
0359,93,93
0594,93,93
0788,93,93
0188,93,93
0066,73,75
0355,93,93
0799,93,93
0902,93,93
0920,93,93
0942,93,93
0330,93,93
0727,93,93
0396,93,93
0463,93,93
0393,93,93
0311,93,93
0680,93,93
0744,93,93
0921,93,93
0461,93,93
0522,93,93
0631,93,93
0490,93,93
0195,93,93
0256,93,93
0693,93,93
0740,93,93
0577,93,93
0157,93,93
0612,93,93
0392,93,93
0969,93,93
0688,93,93
0361,93,93
0816,93,93
0401,93,93
0092,93,93
0917,93,93
0489,93,93
0451,93,93
0251,93,93
0653,93,93
0769,93,93
0670,93,93
0129,93,93
0637,93,93
0991,93,93
0342,93,93
0308,93,93
0136,93,93
0088,93,93
0327,93,93
0475,93,93
0981,93,93
0850,93,93
0892,93,93
0375,93,93
0178,93,93
0026,33,36
0349,93,93
0499,93,93
0474,93,93
0617,93,93
0697,93,93
0050,57,59
0211,93,93
0381,93,93
0883,93,93
0173,93,93
0147,93,93
0419,93,93
0961,93,93
0148,93,93
0975,93,93
0079,86,87
0775,93,93
0302,93,93
0995,93,93
0525,93,93
0774,93,93
0231,93,93
0625,93,93
0800,93,93
0561,93,93
0509,93,93
0840,93,93
0494,93,93
0119,93,93
0477,93,93
0144,93,93
0029,36,39
0910,93,93
0121,93,93
0605,93,93
0061,68,71
0871,93,93
0572,93,93
0005,14,15
0926,93,93
0639,93,93
0439,93,93
0729,93,93
0193,93,93
0752,93,93
0626,93,93
0571,93,93
0017,25,26
0742,93,93
0914,93,93
0510,93,93
0573,93,93
0138,93,93
0191,93,93
0004,13,14
0443,93,93
0020,28,29
0213,93,93
0064,71,74
0411,93,93
0301,93,93
0333,93,93
0192,93,93
0664,93,93
0262,93,93
0647,93,93
0810,93,93
0232,93,93
0795,93,93
0681,93,93
0804,93,93
0482,93,93
0360,93,93
0838,93,93
0236,93,93
0627,93,93
0957,93,93
0582,93,93
0272,93,93
0201,93,93
0013,21,23
0427,93,93
